21700182,BetOnline,1096,1610612747,1610612749,6,-6,-104,-116
21700183,BetOnline,1096,1610612741,1610612759,10,-10,-112,-108
21700184,BetOnline,1096,1610612755,1610612744,13.5,-13.5,-115,-105
21700185,BetOnline,1096,1610612753,1610612743,9,-9,-106,-114
21700186,BetOnline,1096,1610612750,1610612756,-10,10,-110,-110
21700187,BetOnline,1096,1610612751,1610612762,7,-7,-110,-110
21700188,BetOnline,1096,1610612761,1610612738,-3.5,3.5,-112,-108
21700189,BetOnline,1096,1610612748,1610612765,2.5,-2.5,-115,-105
21700190,BetOnline,1096,1610612745,1610612754,-3.5,3.5,-110,-110
21700191,BetOnline,1096,1610612742,1610612760,10,-10,-105,-115
21700192,BetOnline,1096,1610612758,1610612764,11,-11,-116,-104
21700193,BetOnline,1096,1610612739,1610612752,-5,5,-117,-103
21700194,BetOnline,1096,1610612763,1610612749,4,-4,-108,-112
21700195,BetOnline,1096,1610612737,1610612740,9.5,-9.5,-106,-114
21700196,BetOnline,1096,1610612747,1610612756,1,-1,-115,-105
21700197,BetOnline,1096,1610612750,1610612762,-3,3,-105,-115
21700198,BetOnline,1096,1610612743,1610612757,1.5,-1.5,-102,-118
21700199,BetOnline,1096,1610612753,1610612744,12,-12,-103,-117
21700200,BetOnline,1096,1610612755,1610612746,2,-2,-110,-110
21700201,BetOnline,1096,1610612738,1610612751,-6.5,6.5,-108,-112
21700202,BetOnline,1096,1610612761,1610612745,6.5,-6.5,-115,-105
21700203,BetOnline,1096,1610612759,1610612742,-6.5,6.5,-103,-117
21700204,BetOnline,1096,1610612758,1610612737,5,-5,-105,-115
21700205,BetOnline,1096,1610612764,1610612748,2,-2,-108,-112
21700206,BetOnline,1096,1610612762,1610612752,3.5,-3.5,-106,-114
21700207,BetOnline,1096,1610612739,1610612766,0,0,-112,-108
21700208,BetOnline,1096,1610612754,1610612763,3,-3,-110,-110
21700209,BetOnline,1096,1610612765,1610612749,4.5,-4.5,-102,-118
21700210,BetOnline,1096,1610612759,1610612750,5,-5,-110,-110
21700211,BetOnline,1096,1610612761,1610612740,3,-3,-112,-108
21700212,BetOnline,1096,1610612741,1610612760,12.5,-12.5,-105,-115
21700213,BetOnline,1096,1610612753,1610612757,5,-5,-103,-117
21700214,BetOnline,1096,1610612755,1610612747,-4,4,-115,-105
21700215,BetOnline,1096,1610612744,1610612738,-7,7,-105,-115
21700216,BetOnline,1096,1610612745,1610612756,-12.5,12.5,-112,-108
21700217,BetOnline,1096,1610612765,1610612754,1,-1,-109,-111
21700218,BetOnline,1096,1610612748,1610612764,4.5,-4.5,-106,-114
21700219,BetOnline,1096,1610612762,1610612751,2,-2,-111,-109
21700220,BetOnline,1096,1610612746,1610612739,6.5,-6.5,-102,-118
21700221,BetOnline,1096,1610612752,1610612761,7.5,-7.5,-115,-105
21700222,BetOnline,1096,1610612766,1610612741,-6.5,6.5,-115,-105
21700223,BetOnline,1096,1610612760,1610612759,-1.5,1.5,-115,-105
21700224,BetOnline,1096,1610612750,1610612742,-5.5,5.5,-114,-106
21700225,BetOnline,1096,1610612757,1610612758,-7,7,-114,-106
21700226,BetOnline,1096,1610612740,1610612743,5,-5,-110,-110
21700227,BetOnline,1096,1610612756,1610612747,7.5,-7.5,-105,-115
21700228,BetOnline,1096,1610612746,1610612766,5,-5,-116,-104
21700229,BetOnline,1096,1610612762,1610612753,6,-6,-107,-113
21700230,BetOnline,1096,1610612738,1610612737,-6,6,-112,-108
21700231,BetOnline,1096,1610612744,1610612755,-9,9,-113,-107
21700232,BetOnline,1096,1610612745,1610612763,-7.5,7.5,-110,-110
21700233,BetOnline,1096,1610612749,1610612742,-6,6,-115,-105
21700234,BetOnline,1096,1610612758,1610612757,12,-12,-107,-113
21700235,BetOnline,1096,1610612754,1610612748,5.5,-5.5,-105,-115
21700236,BetOnline,1096,1610612744,1610612751,-11.5,11.5,-110,-110
21700237,BetOnline,1096,1610612764,1610612761,6.5,-6.5,-109,-111
21700238,BetOnline,1096,1610612765,1610612750,6,-6,-115,-105
21700239,BetOnline,1096,1610612741,1610612756,2.5,-2.5,-110,-110
21700240,BetOnline,1096,1610612743,1610612747,-5.5,5.5,-101,-119
21700241,BetOnline,1096,1610612750,1610612766,2.5,-2.5,-103,-117
21700242,BetOnline,1096,1610612739,1610612765,-1.5,1.5,-115,-105
21700243,BetOnline,1096,1610612754,1610612753,3.5,-3.5,-103,-117
21700244,BetOnline,1096,1610612762,1610612755,6,-6,-113,-107
21700245,BetOnline,1096,1610612746,1610612752,-2,2,-106,-114
21700246,BetOnline,1096,1610612757,1610612763,-1,1,-110,-110
21700247,BetOnline,1096,1610612764,1610612749,3.5,-3.5,-108,-112
21700248,BetOnline,1096,1610612760,1610612740,-3,3,-106,-114
21700249,BetOnline,1096,1610612738,1610612742,-6.5,6.5,-110,-110
21700250,BetOnline,1096,1610612737,1610612759,9,-9,-112,-108
21700251,BetOnline,1096,1610612743,1610612758,-5,5,-113,-107
21700252,BetOnline,1096,1610612741,1610612747,5.5,-5.5,-108,-112
21700253,BetOnline,1096,1610612764,1610612766,3,-3,-109,-111
21700254,BetOnline,1096,1610612751,1610612739,11.5,-11.5,-112,-108
21700255,BetOnline,1096,1610612757,1610612755,4,-4,-108,-112
21700256,BetOnline,1096,1610612746,1610612737,-3,3,-110,-110
21700257,BetOnline,1096,1610612738,1610612748,-1.5,1.5,-110,-110
21700258,BetOnline,1096,1610612761,1610612752,-4,4,-113,-107
21700259,BetOnline,1096,1610612743,1610612745,9,-9,-118,-102
21700260,BetOnline,1096,1610612742,1610612763,5.5,-5.5,-106,-114
21700261,BetOnline,1096,1610612753,1610612750,7,-7,-112,-108
21700262,BetOnline,1096,1610612759,1610612740,1,-1,-105,-115
21700263,BetOnline,1096,1610612744,1610612760,-5.5,5.5,-106,-114
21700264,BetOnline,1096,1610612749,1610612756,-2,2,-107,-113
21700265,BetOnline,1096,1610612741,1610612762,8.5,-8.5,-107,-113
21700266,BetOnline,1096,1610612747,1610612758,1,-1,-107,-113
21700267,BetOnline,1096,1610612757,1610612751,-4.5,4.5,-115,-105
21700268,BetOnline,1096,1610612752,1610612737,1.5,-1.5,-110,-110
21700269,BetOnline,1096,1610612753,1610612738,6.5,-6.5,-110,-110
